ano,dimensao,nivel,regiao,uf,sigla,Menor 1 ano,1 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Idade ignorada,Total
2021,faixa_etaria,Estado,Região Sudeste,Minas Gerais,MG,2588,362,237,312,1094,4321,7541,14081,24846,36776,41136,56716,75,190085
2021,faixa_etaria,Estado,Região Sudeste,Espírito Santo,ES,590,106,70,88,352,952,1475,2484,4086,6545,6733,9231,89,32801
2021,faixa_etaria,Estado,Região Sudeste,Rio de Janeiro,RJ,2418,352,173,257,1383,5456,7055,12899,23670,39071,42353,53542,603,189232
2021,faixa_etaria,Estado,Região Sudeste,São Paulo,SP,5450,826,422,560,1928,9157,17812,33401,58974,88049,94336,120193,508,431616
2021,faixa_etaria,Regiao,Região Sul,,,3428,573,340,424,1745,7162,11668,20928,38579,58252,66322,80629,176,290226
2021,faixa_etaria,Estado,Região Sul,Paraná,PR,1343,212,139,182,810,3302,5186,9191,16192,22189,24698,29072,90,112606
2021,faixa_etaria,Estado,Região Sul,Santa Catarina,SC,891,129,91,91,332,1499,2387,4398,8285,12327,13501,15947,20,59898
2021,faixa_etaria,Estado,Região Sul,Rio Grande do Sul,RS,1194,232,110,151,603,2361,4095,7339,14102,23736,28123,35610,66,117722
2021,faixa_etaria,Regiao,Região Centro-Oeste,,,2687,490,229,319,1283,4464,7728,12973,20000,25796,27149,30238,107,133463
2021,faixa_etaria,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,451,82,60,60,234,734,1363,2295,3691,4967,5167,5929,16,25049
2021,faixa_etaria,Estado,Região Centro-Oeste,Mato Grosso,MT,733,159,62,82,336,1120,1873,3046,4475,5585,5552,5575,25,28623
2021,faixa_etaria,Estado,Região Centro-Oeste,Goiás,GO,1101,195,82,137,588,2081,3516,5771,9124,11574,12507,13976,60,60712
2021,faixa_etaria,Estado,Região Centro-Oeste,Distrito Federal,DF,402,54,25,40,125,529,976,1861,2710,3670,3923,4758,6,19079
2022,faixa_etaria,Regiao,Região Norte,,,4368,986,391,605,1848,6110,6201,7941,10661,15573,18053,23537,278,96552
2022,faixa_etaria,Estado,Região Norte,Rondônia,RO,334,69,23,54,138,474,606,875,1238,1776,2168,2511,11,10277
2022,faixa_etaria,Estado,Região Norte,Acre,AC,249,50,16,31,89,205,257,317,466,692,770,1007,10,4159
2022,faixa_etaria,Estado,Região Norte,Amazonas,AM,1138,273,100,130,450,1495,1371,1676,2255,3174,3564,4468,61,20155
2022,faixa_etaria,Estado,Região Norte,Roraima,RR,246,76,24,38,81,248,281,286,379,533,518,536,0,3246
2022,faixa_etaria,Estado,Região Norte,Pará,PA,1877,396,189,284,848,2830,2821,3619,4859,7408,8653,11526,189,45499
2022,faixa_etaria,Estado,Região Norte,Amapá,AP,246,51,13,30,103,350,287,338,437,577,589,825,0,3846
