ano,dimensao,Região/Unidade da Federação,Masc,Fem,Ign,Total
2023,sexo,.. Rondônia,6110,3861,3,9974
2023,sexo,.. Acre,2434,1748,7,4189
2023,sexo,.. Amazonas,12234,8144,7,20385
2023,sexo,.. Roraima,1998,1311,2,3311
2023,sexo,.. Pará,25922,17813,45,43780
2023,sexo,.. Amapá,2527,1397,2,3926
2023,sexo,.. Tocantins,5453,3459,0,8912
2023,sexo,Região Nordeste,212303,168155,188,380646
2023,sexo,.. Maranhão,22570,16150,27,38747
2023,sexo,.. Piauí,12829,9680,20,22529
2023,sexo,.. Ceará,33472,27139,24,60635
2023,sexo,.. Rio Grande do Norte,12241,10041,20,22302
2023,sexo,.. Paraíba,15509,13258,6,28773
2023,sexo,.. Pernambuco,37117,31383,27,68527
2023,sexo,.. Alagoas,12134,9824,7,21965
2023,sexo,.. Sergipe,7956,6122,9,14087
2023,sexo,.. Bahia,58475,44558,48,103081
2023,sexo,Região Sudeste,353453,310711,205,664369
2023,sexo,.. Minas Gerais,86068,71502,33,157603
2023,sexo,.. Espírito Santo,15357,11953,5,27315
2023,sexo,.. Rio de Janeiro,74304,70729,115,145148
2023,sexo,.. São Paulo,177724,156527,52,334303
2023,sexo,Região Sul,122668,102867,35,225570
2023,sexo,.. Paraná,46697,36751,17,83465
2023,sexo,.. Santa Catarina,26565,22016,8,48589
2023,sexo,.. Rio Grande do Sul,49406,44100,10,93516
2023,sexo,Região Centro-Oeste,58098,42418,32,100548
2023,sexo,.. Mato Grosso do Sul,11283,8353,2,19638
2023,sexo,.. Mato Grosso,13409,8371,10,21790
2023,sexo,.. Goiás,25800,19222,19,45041
2023,sexo,.. Distrito Federal,7606,6472,1,14079
2023,sexo,Total,803200,661884,526,1465610
2024,sexo,Região Norte,57416,38878,55,96349
2024,sexo,.. Rondônia,6179,3912,6,10097
2024,sexo,.. Acre,2524,1736,7,4267
2024,sexo,.. Amazonas,11934,8287,4,20225
2024,sexo,.. Roraima,1808,1243,4,3055
2024,sexo,.. Pará,26860,18489,26,45375
2024,sexo,.. Amapá,2376,1525,2,3903
2024,sexo,.. Tocantins,5735,3686,6,9427
2024,sexo,Região Nordeste,220883,173881,142,394906
2024,sexo,.. Maranhão,23514,16606,23,40143
2024,sexo,.. Piauí,13270,10188,18,23476
2024,sexo,.. Ceará,35663,27822,11,63496
2024,sexo,.. Rio Grande do Norte,12827,10681,19,23527
2024,sexo,.. Paraíba,16361,13785,7,30153
2024,sexo,.. Pernambuco,38280,32485,28,70793
2024,sexo,.. Alagoas,12564,10085,4,22653
2024,sexo,.. Sergipe,8025,6426,2,14453
2024,sexo,.. Bahia,60379,45803,30,106212
2024,sexo,Região Sudeste,366348,325001,233,691582
2024,sexo,.. Minas Gerais,89043,74597,28,163668
2024,sexo,.. Espírito Santo,15675,12452,15,28142
2024,sexo,.. Rio de Janeiro,75365,72669,122,148156
2024,sexo,.. São Paulo,186265,165283,68,351616
2024,sexo,Região Sul,130978,111799,49,242826
2024,sexo,.. Paraná,49361,39740,21,89122
2024,sexo,.. Santa Catarina,28329,23880,15,52224
2024,sexo,.. Rio Grande do Sul,53288,48179,13,101480
2024,sexo,Região Centro-Oeste,61034,45286,32,106352
2024,sexo,.. Mato Grosso do Sul,11477,8357,7,19841
2024,sexo,.. Mato Grosso,13743,9053,7,22803
2024,sexo,.. Goiás,27316,20496,18,47830
2024,sexo,.. Distrito Federal,8498,7380,0,15878
2024,sexo,Total,836659,694845,511,1532015
2025,sexo,Região Norte,58792,40069,52,98913
2025,sexo,.. Rondônia,6427,4126,6,10559
2025,sexo,.. Acre,2554,1683,2,4239
2025,sexo,.. Amazonas,11831,8538,6,20375
2025,sexo,.. Roraima,1990,1376,2,3368
2025,sexo,.. Pará,27695,19017,32,46744
2025,sexo,.. Amapá,2444,1544,0,3988
2025,sexo,.. Tocantins,5851,3785,4,9640
2025,sexo,Região Nordeste,221624,174491,161,396276
2025,sexo,.. Maranhão,23946,16972,15,40933
2025,sexo,.. Piauí,13174,10030,17,23221
2025,sexo,.. Ceará,35526,28362,12,63900
2025,sexo,.. Rio Grande do Norte,12915,10430,5,23350
2025,sexo,.. Paraíba,16661,13878,8,30547
2025,sexo,.. Pernambuco,38027,32448,35,70510
2025,sexo,.. Alagoas,12859,10071,6,22936
2025,sexo,.. Sergipe,8151,6427,2,14580
2025,sexo,.. Bahia,60365,45873,61,106299
2025,sexo,Região Sudeste,368236,327761,217,696214
2025,sexo,.. Minas Gerais,87125,72625,22,159772
2025,sexo,.. Espírito Santo,16347,13044,10,29401
2025,sexo,.. Rio de Janeiro,77327,74848,109,152284
2025,sexo,.. São Paulo,187437,167244,76,354757
2025,sexo,Região Sul,127743,110192,41,237976
2025,sexo,.. Paraná,48322,39477,17,87816
2025,sexo,.. Santa Catarina,28500,23620,6,52126
2025,sexo,.. Rio Grande do Sul,50921,47095,18,98034
2025,sexo,Região Centro-Oeste,59987,45192,30,105209
2025,sexo,.. Mato Grosso do Sul,11514,8525,4,20043
2025,sexo,.. Mato Grosso,13715,9330,4,23049
2025,sexo,.. Goiás,26780,20213,19,47012
2025,sexo,.. Distrito Federal,7978,7124,3,15105
2025,sexo,Total,836382,697705,501,1534588
2026,sexo,Região Norte,20421,14396,20,34837
2026,sexo,.. Rondônia,2155,1478,0,3633
2026,sexo,.. Acre,848,656,6,1510
2026,sexo,.. Amazonas,3999,2917,2,6918
2026,sexo,.. Roraima,606,427,1,1034
2026,sexo,.. Pará,9935,7015,8,16958
2026,sexo,.. Amapá,857,533,0,1390
2026,sexo,.. Tocantins,2021,1370,3,3394
2026,sexo,Região Nordeste,75727,61150,45,136922
2026,sexo,.. Maranhão,8894,6426,11,15331
2026,sexo,.. Piauí,4630,3478,4,8112
2026,sexo,.. Ceará,12693,10391,3,23087
2026,sexo,.. Rio Grande do Norte,4350,3702,2,8054
2026,sexo,.. Paraíba,6051,5039,2,11092
2026,sexo,.. Pernambuco,12445,10963,9,23417
2026,sexo,.. Alagoas,4307,3432,0,7739
2026,sexo,.. Sergipe,2932,2404,2,5338
2026,sexo,.. Bahia,19425,15315,12,34752
2026,sexo,Região Sudeste,117014,104315,67,221396
2026,sexo,.. Minas Gerais,27069,22679,5,49753
2026,sexo,.. Espírito Santo,5040,4039,7,9086
2026,sexo,.. Rio de Janeiro,24311,23941,34,48286
2026,sexo,.. São Paulo,60594,53656,21,114271
2026,sexo,Região Sul,41709,35996,22,77727
2026,sexo,.. Paraná,16517,13602,5,30124
2026,sexo,.. Santa Catarina,9413,7973,6,17392
2026,sexo,.. Rio Grande do Sul,15779,14421,11,30211
2026,sexo,Região Centro-Oeste,20116,15527,6,35649
2026,sexo,.. Mato Grosso do Sul,3972,3005,1,6978
2026,sexo,.. Mato Grosso,4717,3411,0,8128
2026,sexo,.. Goiás,8701,6670,4,15375
2026,sexo,.. Distrito Federal,2726,2441,1,5168
2026,sexo,Total,274987,231384,160,506531
