ano,dimensao,nivel,regiao,uf,sigla,Cap I,Cap II,Cap III,Cap IV,Cap V,Cap VI,Cap VII,Cap VIII,Cap IX,Cap X,Cap XI,Cap XII,Cap XIII,Cap XIV,Cap XV,Cap XVI,Cap XVII,Cap XVIII,Cap XX,Total,Cap XIX,Cap XXII
2020,capitulo_cid10,Regiao,Região Sudeste,,,122551,106972,3080,37198,7587,21625,10,77,164015,74233,29883,3309,2986,24048,767,6620,3608,43433,51057,703059,0,0
2020,capitulo_cid10,Estado,Região Sudeste,Minas Gerais,MG,19417,24653,798,8519,2861,5296,4,22,35595,15592,7083,650,806,5244,135,1623,900,10514,12416,152128,0,0
2020,capitulo_cid10,Estado,Região Sudeste,Espírito Santo,ES,5615,4532,94,1757,267,1214,0,8,6880,2193,1111,128,147,787,43,303,210,358,3464,29111,0,0
2020,capitulo_cid10,Estado,Região Sudeste,Rio de Janeiro,RJ,39263,22081,936,8948,1159,3729,3,15,37073,16039,5584,908,590,5924,236,1433,692,14671,12901,172185,0,0
2020,capitulo_cid10,Estado,Região Sudeste,São Paulo,SP,58256,55706,1252,17974,3300,11386,3,32,84467,40409,16105,1623,1443,12093,353,3261,1806,17890,22276,349635,0,0
2020,capitulo_cid10,Regiao,Região Sul,,,30276,43480,702,13726,2395,9362,1,12,52739,19396,10286,723,782,6178,188,2026,1338,7921,20277,221808,0,0
2020,capitulo_cid10,Estado,Região Sul,Paraná,PR,11013,14939,278,4986,1084,3486,1,4,20224,7293,4280,281,327,2169,84,780,565,2054,8725,82573,0,0
2020,capitulo_cid10,Estado,Região Sul,Santa Catarina,SC,6732,9344,164,2513,393,1550,0,5,11447,4123,2097,150,173,1254,37,526,331,1263,4342,46444,0,0
2020,capitulo_cid10,Estado,Região Sul,Rio Grande do Sul,RS,12531,19197,260,6227,918,4326,0,3,21068,7980,3909,292,282,2755,67,720,442,4604,7210,92791,0,0
2020,capitulo_cid10,Regiao,Região Centro-Oeste,,,21120,15366,416,5639,1211,3213,0,7,23985,9286,4919,302,368,2924,183,1457,884,3127,12617,107024,0,0
